id,quantity,unit_price,date_id,customer_id,product_id,turnover,profit,id,company,last_name,first_name,email_address,job_title,business_phone,home_phone,mobile_phone,fax_number,address,city,state_province,zip_postal_code,country_region,web_page,notes,attachments,technical_key,version,date_from,date_to,city,state_province,country_region,zip_postal_code
73,40,12.75,20060605,8,48,510,127.5,8,"Company H",Andersen,Elizabeth,NULL,"Purchasing Representative",(123)555-0100,NULL,NULL,(123)555-0101,"123 8th Street",Portland,OR,99999,USA,NULL,NULL,NULL,8,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Portland,OR,USA,99999
53,100,19.5,20060405,9,57,1950,487.5,9,"Company I",Mortensen,Sven,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 9th Street","Salt Lake City",UT,99999,USA,NULL,NULL,NULL,9,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","Salt Lake City",UT,USA,99999
54,50,34.8,20060405,9,72,1739.9999999999998,434.9999999999998,9,"Company I",Mortensen,Sven,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 9th Street","Salt Lake City",UT,99999,USA,NULL,NULL,NULL,9,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","Salt Lake City",UT,USA,99999
75,10,9.65,20060605,9,41,96.5,24.125,9,"Company I",Mortensen,Sven,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 9th Street","Salt Lake City",UT,99999,USA,NULL,NULL,NULL,9,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","Salt Lake City",UT,USA,99999
41,200,2.99,20060324,10,81,598,198,10,"Company J",Wacker,Roland,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 10th Street",Chicago,IL,99999,USA,NULL,NULL,NULL,10,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Chicago,IL,USA,99999
43,10,25,20060324,10,6,250,62.5,10,"Company J",Wacker,Roland,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 10th Street",Chicago,IL,99999,USA,NULL,NULL,NULL,10,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Chicago,IL,USA,99999
44,10,22,20060324,10,4,220,55,10,"Company J",Wacker,Roland,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 10th Street",Chicago,IL,99999,USA,NULL,NULL,NULL,10,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Chicago,IL,USA,99999
45,10,9.2,20060324,10,19,92,23,10,"Company J",Wacker,Roland,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 10th Street",Chicago,IL,99999,USA,NULL,NULL,NULL,10,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Chicago,IL,USA,99999
79,15,3.5,20060524,10,80,52.5,7.5,10,"Company J",Wacker,Roland,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 10th Street",Chicago,IL,99999,USA,NULL,NULL,NULL,10,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Chicago,IL,USA,99999
80,20,10,20060524,10,74,200,50,10,"Company J",Wacker,Roland,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 10th Street",Chicago,IL,99999,USA,NULL,NULL,NULL,10,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Chicago,IL,USA,99999
59,20,10,20060405,25,21,200,50,25,"Company Y",Rodman,John,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"789 25th Street",Chicago,IL,99999,USA,NULL,NULL,NULL,10,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Chicago,IL,USA,99999
72,30,22,20060605,25,4,660,165,25,"Company Y",Rodman,John,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"789 25th Street",Chicago,IL,99999,USA,NULL,NULL,NULL,10,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Chicago,IL,USA,99999
46,20,3.5,20060324,11,80,70,10,11,"Company K",Krschne,Peter,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 11th Street",Miami,FL,99999,USA,NULL,NULL,NULL,11,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Miami,FL,USA,99999
47,50,2.99,20060324,11,81,149.5,49.5,11,"Company K",Krschne,Peter,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 11th Street",Miami,FL,99999,USA,NULL,NULL,NULL,11,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Miami,FL,USA,99999
78,20,40,20060524,11,8,800,200,11,"Company K",Krschne,Peter,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 11th Street",Miami,FL,99999,USA,NULL,NULL,NULL,11,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Miami,FL,USA,99999
60,25,21.35,20060405,26,5,533.75,133.4375,26,"Company Z",Liu,Run,NULL,"Accounting Assistant",(123)555-0100,NULL,NULL,(123)555-0101,"789 26th Street",Miami,FL,99999,USA,NULL,NULL,NULL,11,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Miami,FL,USA,99999
61,30,9.65,20060405,26,41,289.5,72.375,26,"Company Z",Liu,Run,NULL,"Accounting Assistant",(123)555-0100,NULL,NULL,(123)555-0101,"789 26th Street",Miami,FL,99999,USA,NULL,NULL,NULL,11,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Miami,FL,USA,99999
62,30,18.4,20060405,26,40,552,138,26,"Company Z",Liu,Run,NULL,"Accounting Assistant",(123)555-0100,NULL,NULL,(123)555-0101,"789 26th Street",Miami,FL,99999,USA,NULL,NULL,NULL,11,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Miami,FL,USA,99999
71,90,25,20060605,26,6,2250,562.5,26,"Company Z",Liu,Run,NULL,"Accounting Assistant",(123)555-0100,NULL,NULL,(123)555-0101,"789 26th Street",Miami,FL,99999,USA,NULL,NULL,NULL,11,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Miami,FL,USA,99999
32,15,18,20060122,12,1,270,67.5,12,"Company L",Edwards,John,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 12th Street","Las Vegas",NV,99999,USA,NULL,NULL,NULL,12,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","Las Vegas",NV,USA,99999
33,20,46,20060122,12,43,920,230,12,"Company L",Edwards,John,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"123 12th Street","Las Vegas",NV,99999,USA,NULL,NULL,NULL,12,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","Las Vegas",NV,USA,99999
27,100,14,20060115,27,34,1400,350,27,"Company AA",Toh,Karen,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"789 27th Street","Las Vegas",NV,99999,USA,NULL,NULL,NULL,12,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","Las Vegas",NV,USA,99999
28,30,3.5,20060115,27,80,105,15,27,"Company AA",Toh,Karen,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"789 27th Street","Las Vegas",NV,99999,USA,NULL,NULL,NULL,12,1,"1900-01-01 00:00:00","2200-01-01 00:00:00","Las Vegas",NV,USA,99999
39,300,46,20060310,28,43,13800,3450,28,"Company BB",Raghav,Amritansh,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"789 28th Street",Memphis,TN,99999,USA,NULL,NULL,NULL,13,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Memphis,TN,USA,99999
51,50,9.65,20060407,28,41,482.5,120.625,28,"Company BB",Raghav,Amritansh,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"789 28th Street",Memphis,TN,99999,USA,NULL,NULL,NULL,13,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Memphis,TN,USA,99999
52,50,18.4,20060407,28,40,919.9999999999999,229.9999999999999,28,"Company BB",Raghav,Amritansh,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"789 28th Street",Memphis,TN,99999,USA,NULL,NULL,NULL,13,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Memphis,TN,USA,99999
76,5,46,20060607,28,43,230,57.5,28,"Company BB",Raghav,Amritansh,NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"789 28th Street",Memphis,TN,99999,USA,NULL,NULL,NULL,13,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Memphis,TN,USA,99999
36,10,12.75,20060210,29,48,127.5,31.875,29,"Company CC",Lee,"Soo Jung",NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"789 29th Street",Denver,CO,99999,USA,NULL,NULL,NULL,14,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Denver,CO,USA,99999
67,87,14,20060405,29,34,1218,304.5,29,"Company CC",Lee,"Soo Jung",NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"789 29th Street",Denver,CO,99999,USA,NULL,NULL,NULL,14,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Denver,CO,USA,99999
70,40,39,20060605,29,17,1560,390,29,"Company CC",Lee,"Soo Jung",NULL,"Purchasing Manager",(123)555-0100,NULL,NULL,(123)555-0101,"789 29th Street",Denver,CO,99999,USA,NULL,NULL,NULL,14,1,"1900-01-01 00:00:00","2200-01-01 00:00:00",Denver,CO,USA,99999
